USER   { pos: [ 25, 60] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 27,118] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 40,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 38,142] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,120] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 18,115] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 13,116] | dir: DOWN  | fi: 0 }
USER   { pos: [ 26, 60] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [  4,127] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 18,116] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,119] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 28,118] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 38,143] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 40,120] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [ 14,116] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [  3,127] | dir: UP    | fi: 0 }
USER   { pos: [ 26, 61] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 19,116] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 25,119] | dir: UP    | fi: 0 }
OPO 6  { pos: [ 40,119] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 28,119] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 38,144] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 15,116] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [  2,127] | dir: UP    | fi: 0 }
USER   { pos: [ 26, 62] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 41,119] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 20,116] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 27,119] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 25,120] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 38,145] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 16,116] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [  2,126] | dir: LEFT  | fi: 0 }
USER   { pos: [ 26, 63] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 21,116] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 41,118] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 25,121] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 39,145] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 16,117] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  2,125] | dir: LEFT  | fi: 0 }
USER   { pos: [ 26, 64] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 21,117] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 40,118] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 25,122] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 40,145] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 15,117] | dir: UP    | fi: 0 }
OPO 3  { pos: [  2,124] | dir: LEFT  | fi: 0 }
USER   { pos: [ 26, 65] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 21,118] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 41,145] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 25,123] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 39,118] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 14,117] | dir: UP    | fi: 0 }
OPO 3  { pos: [  2,123] | dir: LEFT  | fi: 0 }
USER   { pos: [ 26, 66] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 21,119] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,145] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 25,124] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 39,117] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [ 13,117] | dir: UP    | fi: 0 }
OPO 3  { pos: [  3,123] | dir: DOWN  | fi: 0 }
USER   { pos: [ 26, 67] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,144] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 21,120] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 25,125] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 40,117] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 12,117] | dir: UP    | fi: 0 }
OPO 3  { pos: [  4,123] | dir: DOWN  | fi: 0 }
USER   { pos: [ 26, 68] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 41,117] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 42,143] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 21,121] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 25,126] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 12,118] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  4,124] | dir: RIGHT | fi: 0 }
USER   { pos: [ 26, 69] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 42,117] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 42,142] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 22,121] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 25,127] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 12,119] | dir: RIGHT | fi: 0 }
USER   { pos: [ 26, 70] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  4,125] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,141] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 42,116] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 25,128] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 22,122] | dir: RIGHT | fi: 0 }
USER   { pos: [ 26, 71] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 12,120] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  4,126] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,140] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 42,115] | dir: LEFT  | fi: 0 }
